Store Name,Banana Price (lb),Banana link,Strawberry Price (oz),Strawberry link,Apple Price (oz),Apple link,Potato Price (lb),Potato link,Onion Price (lb),Onion link,Tomato Price (lb),Tomato link
99 Ranch Market,0.68,,0.26,,0.08,,0.93,,0.71,,1.90,
A & M Tropical Food,0.69,,0.22,,0.08,,1.17,,0.70,,1.74,
Albertsons,0.59,https://www.albertsons.com/shop/product-details.184060007.html,0.22,https://www.albertsons.com/shop/product-details.184070124.html,0.13,https://www.albertsons.com/shop/product-details.184020066.html,0.60,https://www.albertsons.com/shop/product-details.184500035.html,1.49,https://www.albertsons.com/shop/product-details.184450054.html,1.29,https://www.albertsons.com/shop/product-details.184570068.html
Aldi,0.52,https://new.aldi.us/product/bananas-0000000000005731,0.14,https://new.aldi.us/product/strawberries-package-0000000000003798,0.07,https://new.aldi.us/product/gala-apples-3-lb-0000000000005585,0.49,https://new.aldi.us/product/russet-potatoes-10-lb-0000000000003803,1.38,https://new.aldi.us/product/vidalia-onions-bag-0000000000002659,4.49,https://new.aldi.us/product/tomatoes-on-the-vine-package-0000000000003855
Angelito's Market,0.79,,0.24,,0.09,,0.63,,1.32,,1.66,
Big Saver Foods,0.81,,0.25,,0.11,,1.12,,1.51,,2.03,
Community Market,0.79,,0.23,,0.08,,0.88,,1.06,,1.88,
Corner Market,0.57,,0.16,,0.08,,0.86,,0.88,,0.88,
Costco,0.69,,0.19,,0.09,,0.77,,0.77,,0.48,
Dat Moi Market,0.81,,0.20,,0.08,,0.95,,1.46,,1.87,
Del Amo Market,0.69,,0.26,,0.10,,0.68,,1.31,,1.25,
El Fresco Farms,0.59,,0.29,,0.11,,0.80,,0.85,,1.21,
El Gallo Market,0.62,,0.16,,0.10,,0.47,,1.46,,0.53,
Ensenada Market,0.59,,0.25,,0.08,,0.50,,1.39,,2.35,
Food4Less,0.81,https://www.food4less.com/p/fresh-banana-each/0000000004011?searchType=default_search,0.22,https://www.food4less.com/p/fresh-strawberries/0003338320027,0.06,https://www.food4less.com/p/large-gala-apple-each/0000000004134?searchType=default_search,0.60,https://www.food4less.com/p/kroger-russet-potatoes-in-5-lb-bag/0001111091760?searchType=default_search,1.00,https://www.food4less.com/p/kroger-yellow-onions-in-3lb-bag/0001111091682?searchType=default_search,1.05,https://www.food4less.com/p/roma-tomato/0000000004087?searchType=default_search
Gardena Supermarket,0.69,,0.16,,0.08,,1.09,,0.63,,0.73,
Handy Market,0.69,https://www.mercato.com/shop/handy-market?utm_source=0826.Handy_Market&utm_medium=shopnow&keywords=banana&featuredProduct=1048004,0.44,https://www.mercato.com/shop/handy-market?utm_source=0826.Handy_Market&utm_medium=shopnow&keywords=strawberry&featuredProduct=3951025,0.09,https://www.mercato.com/shop/handy-market?utm_source=0826.Handy_Market&utm_medium=shopnow&keywords=apple&featuredProduct=2279835,0.99,https://www.mercato.com/shop/handy-market?utm_source=0826.Handy_Market&utm_medium=shopnow&keywords=russet+potato&featuredProduct=1048030,0.79,https://www.mercato.com/shop/handy-market?utm_source=0826.Handy_Market&utm_medium=shopnow&keywords=onion&featuredProduct=3329979,1.99,https://www.mercato.com/shop/handy-market?utm_source=0826.Handy_Market&utm_medium=shopnow&keywords=tomato&featuredProduct=2392604
